,date,optimal_path,max_rate_of_return
0,2023-01-01,JPY -> CHF -> CNY -> EUR -> AUD -> USD,0.012066182831936821
1,2023-02-01,JPY -> CHF -> CNY -> EUR -> AUD -> USD,0.011683636930440963
2,2023-03-01,JPY -> CHF -> EUR -> AUD -> CNY -> USD,0.012002491933935428
3,2023-04-01,JPY -> CHF -> EUR -> AUD -> CNY -> USD,0.012598092281188173
4,2023-05-01,JPY -> CHF -> EUR -> AUD -> CNY -> USD,0.01341291054785826
5,2023-06-01,JPY -> CHF -> EUR -> AUD -> CNY -> USD,0.014545264887306243
6,2023-07-01,JPY -> CHF -> EUR -> MXN -> AUD -> CNY -> USD,0.015993637426111994
7,2023-08-01,JPY -> CHF -> EUR -> MXN -> AUD -> CNY -> USD,0.01748993175344898
8,2023-09-01,JPY -> CHF -> EUR -> MXN -> AUD -> CNY -> USD,0.019183175861811355
9,2023-10-01,JPY -> CHF -> EUR -> MXN -> AUD -> CNY -> USD,0.020186376204923764
10,2023-11-01,JPY -> CHF -> EUR -> MXN -> AUD -> CNY -> USD,0.0227639585110016
11,2023-12-01,JPY -> CHF -> EUR -> MXN -> AUD -> CNY -> USD,0.025401523195043862
12,2024-01-01,JPY -> CHF -> EUR -> MXN -> AUD -> CNY -> USD,0.029770350172950953
13,2024-02-01,JPY -> CHF -> AUD -> CNY -> EUR -> MXN -> USD,0.03497228435633519
14,2024-03-01,JPY -> CHF -> AUD -> CNY -> EUR -> MXN -> USD,0.042006190378299675
15,2024-04-01,JPY -> CHF -> AUD -> CNY -> EUR -> MXN -> USD,0.050624567080612595
16,2024-05-01,JPY -> CHF -> AUD -> CNY -> EUR -> MXN -> USD,0.06157558649047001
17,2024-06-01,JPY -> CHF -> AUD -> CNY -> EUR -> MXN -> USD,0.07495150539052904
18,2024-07-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,3.412223588258251
19,2024-08-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,95.86856295676529
20,2024-09-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,252.3210344693762
21,2024-10-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,905.5987093601203
22,2024-11-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,2970.0055850941594
23,2024-12-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,7600.859231851002
24,2025-01-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,16079.238473091988
25,2025-02-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,29686.825727961004
26,2025-03-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,51358.811974657474
27,2025-04-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,103075.33616186675
28,2025-05-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,294065.60751100304
29,2025-06-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,648797.3000486946
30,2025-07-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,1352865.0673724741
31,2025-08-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,2790858.2919625775
32,2025-09-01,JPY -> CHF -> AUD -> CNY -> EUR -> KRW -> USD,5904111.774774699
33,2025-10-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,14076203.712089103
34,2025-11-01,JPY -> CHF -> MXN -> EUR -> CNY -> AUD -> KRW -> USD,49958992.186008126
35,2025-12-01,JPY -> CHF -> MXN -> EUR -> CNY -> AUD -> KRW -> USD,155631789.03743884
36,2026-01-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,449535375.96359575
37,2026-02-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,1293226567.0367842
38,2026-03-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,3659172475.2528152
39,2026-04-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,10276465813.794579
40,2026-05-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,28933381202.81971
41,2026-06-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,82379932894.11195
42,2026-07-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,238777342821.6434
43,2026-08-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,701433320179.3204
44,2026-09-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,2071102855363.501
45,2026-10-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,6113857678203.356
46,2026-11-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,18534533622159.273
47,2026-12-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,56738101301052.6
48,2027-01-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,167835401029804.12
49,2027-02-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,504201765876997.0
50,2027-03-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,1496509651135567.0
51,2027-04-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,4300846839310569.0
52,2027-05-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,1.174012447974439e+16
53,2027-06-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,3.702850782325279e+16
54,2027-07-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,1.0623770933917051e+17
55,2027-08-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,2.7542146179000483e+17
56,2027-09-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,6.115323676459073e+17
57,2027-10-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,2.50364839511403e+18
58,2027-11-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,3.078117494165781e+18
59,2027-12-01,JPY -> CHF -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> USD,2.350478325672925e+19
