,date,optimal_path,max_rate_of_return
0,2023-01-01,USD -> JPY -> CHF -> CNY -> EUR -> AUD,2.012110573343525
1,2023-02-01,USD -> JPY -> CHF -> CNY -> EUR -> AUD,1.9994894709714655
2,2023-03-01,USD -> JPY -> CHF -> CNY -> EUR -> AUD,2.117190888856801
3,2023-04-01,USD -> JPY -> CHF -> CNY -> EUR -> AUD,2.26151476544336
4,2023-05-01,USD -> JPY -> CHF -> CNY -> EUR -> AUD,2.440147665292421
5,2023-06-01,USD -> CNY -> EUR -> MXN -> JPY -> CHF -> AUD,2.760507534066136
6,2023-07-01,USD -> CNY -> EUR -> MXN -> JPY -> CHF -> AUD,3.153827634646146
7,2023-08-01,USD -> CNY -> EUR -> MXN -> JPY -> CHF -> AUD,3.5716761049652184
8,2023-09-01,USD -> CNY -> EUR -> MXN -> JPY -> CHF -> AUD,4.0700217238812755
9,2023-10-01,USD -> CNY -> EUR -> MXN -> JPY -> CHF -> AUD,4.449297841481607
10,2023-11-01,USD -> CNY -> EUR -> MXN -> JPY -> CHF -> AUD,5.236963849047805
11,2023-12-01,USD -> CNY -> EUR -> MXN -> JPY -> CHF -> AUD,6.134178458348277
12,2024-01-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD,7.636617531929936
13,2024-02-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD,9.710262278501526
14,2024-03-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD,12.572120999532292
15,2024-04-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD,16.686461632776535
16,2024-05-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD,22.90127913767241
17,2024-06-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD,32.6190635301063
18,2024-07-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,197.4392712763378
19,2024-08-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,9449.988850457628
20,2024-09-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,38317.133633152254
21,2024-10-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,107671.20940580891
22,2024-11-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,256976.93556261653
23,2024-12-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,576551.7926285192
24,2025-01-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,1301154.181475962
25,2025-02-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,3046653.81054184
26,2025-03-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,7265498.48067114
27,2025-04-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,16332145.565430492
28,2025-05-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,29377567.03911517
29,2025-06-01,USD -> MXN -> JPY -> CHF -> EUR -> KRW -> CNY -> AUD,53178967.11385199
30,2025-07-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,154380147.77324772
31,2025-08-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,672439381.3855544
32,2025-09-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,2373453861.663703
33,2025-10-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,7899635246.354144
34,2025-11-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,25312356326.48548
35,2025-12-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,76038330762.41003
36,2026-01-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,226934526139.0325
37,2026-02-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,679960239724.6432
38,2026-03-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,1918723607826.716
39,2026-04-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,5220901848074.323
40,2026-05-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,14237266588756.666
41,2026-06-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,39852449184089.96
42,2026-07-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,115592912686012.47
43,2026-08-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,343070171564304.6
44,2026-09-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,1019345555359336.9
45,2026-10-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,3009280205445069.0
46,2026-11-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,9038605448664022.0
47,2026-12-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,2.566856259789388e+16
48,2027-01-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,7.417627607917074e+16
49,2027-02-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,2.2028972872308013e+17
50,2027-03-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,6.439761642757414e+17
51,2027-04-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,1.8464202136424433e+18
52,2027-05-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,5.324265815012046e+18
53,2027-06-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,1.622255716991664e+19
54,2027-07-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,4.524117167656679e+19
55,2027-08-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,6.231009161449999e+19
56,2027-09-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,2.6479892788945827e+20
57,2027-10-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,8.821179712218905e+20
58,2027-11-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,2.484264248755633e+21
59,2027-12-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> MXN -> AUD,8.212689172707484e+21
