,date,optimal_path,max_rate_of_return
0,2023-01-01,USD -> EUR -> AUD -> CNY -> JPY -> CHF,1.3088687640034062
1,2023-02-01,USD -> EUR -> AUD -> CNY -> JPY -> CHF,1.3025628740113655
2,2023-03-01,USD -> EUR -> AUD -> CNY -> JPY -> CHF,1.396727854610732
3,2023-04-01,USD -> EUR -> AUD -> CNY -> JPY -> CHF,1.5105490697021264
4,2023-05-01,USD -> EUR -> AUD -> CNY -> JPY -> CHF,1.6580275531259157
5,2023-06-01,USD -> EUR -> AUD -> CNY -> JPY -> CHF,1.8564003980729493
6,2023-07-01,USD -> EUR -> MXN -> AUD -> CNY -> JPY -> CHF,2.106453866151448
7,2023-08-01,USD -> EUR -> MXN -> AUD -> CNY -> JPY -> CHF,2.3656850730184193
8,2023-09-01,USD -> AUD -> CNY -> EUR -> MXN -> JPY -> CHF,2.6983907973780545
9,2023-10-01,USD -> MXN -> AUD -> CNY -> EUR -> RUB -> JPY -> CHF,3.0088742695951107
10,2023-11-01,USD -> MXN -> AUD -> CNY -> EUR -> RUB -> JPY -> CHF,3.660703251444519
11,2023-12-01,USD -> MXN -> AUD -> CNY -> EUR -> RUB -> JPY -> CHF,4.464856614477821
12,2024-01-01,USD -> MXN -> AUD -> CNY -> EUR -> RUB -> JPY -> CHF,5.782985154325361
13,2024-02-01,USD -> MXN -> AUD -> CNY -> EUR -> RUB -> JPY -> CHF,7.53221256162672
14,2024-03-01,USD -> MXN -> AUD -> CNY -> EUR -> RUB -> JPY -> CHF,9.986167117219853
15,2024-04-01,USD -> MXN -> AUD -> CNY -> EUR -> RUB -> JPY -> CHF,13.44478177475101
16,2024-05-01,USD -> MXN -> AUD -> CNY -> EUR -> RUB -> JPY -> CHF,18.52182003545725
17,2024-06-01,USD -> MXN -> AUD -> CNY -> EUR -> RUB -> JPY -> CHF,25.89201552101022
18,2024-07-01,USD -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY -> CHF,77.62828986281329
19,2024-08-01,USD -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY -> CHF,3316.196789603159
20,2024-09-01,USD -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY -> CHF,11836.028967854812
21,2024-10-01,USD -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY -> CHF,29086.790449951714
22,2024-11-01,USD -> MXN -> JPY -> AUD -> CNY -> EUR -> KRW -> CHF,66816.42426473285
23,2024-12-01,USD -> MXN -> JPY -> AUD -> CNY -> EUR -> KRW -> CHF,152965.34633006642
24,2025-01-01,USD -> MXN -> JPY -> AUD -> CNY -> EUR -> KRW -> CHF,342890.3560843932
25,2025-02-01,USD -> MXN -> JPY -> AUD -> CNY -> EUR -> KRW -> CHF,760219.4505135128
26,2025-03-01,USD -> MXN -> JPY -> AUD -> CNY -> EUR -> KRW -> CHF,1639161.7704158416
27,2025-04-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,6197937.23580352
28,2025-05-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,25502754.408522747
29,2025-06-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,91138411.97444595
30,2025-07-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,277833478.1957043
31,2025-08-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,765156391.0776259
32,2025-09-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,2023406149.0864067
33,2025-10-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,5449382733.49404
34,2025-11-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,14883913228.228981
35,2025-12-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,40495113022.79401
36,2026-01-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,114681869985.26675
37,2026-02-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,328603581181.1479
38,2026-03-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,912041525976.4207
39,2026-04-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,2477877178471.0464
40,2026-05-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,6763341573505.337
41,2026-06-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,18766803003638.766
42,2026-07-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,53766160834810.875
43,2026-08-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,158061444906168.75
44,2026-09-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,466365605803494.8
45,2026-10-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,1368656080469940.5
46,2026-11-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,4122796228467191.5
47,2026-12-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,1.1873402553863842e+16
48,2027-01-01,USD -> MXN -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF,3.354584178067899e+16
