,date,optimal_path,max_rate_of_return
0,2023-01-01,USD -> EUR -> AUD -> JPY -> CHF -> CNY,9.254991214614533
1,2023-02-01,USD -> JPY -> CHF -> EUR -> AUD -> CNY,9.008938131462447
2,2023-03-01,USD -> JPY -> CHF -> EUR -> AUD -> CNY,9.499644893918326
3,2023-04-01,USD -> JPY -> CHF -> EUR -> AUD -> CNY,10.192178368305274
4,2023-05-01,USD -> EUR -> MXN -> JPY -> CHF -> AUD -> CNY,11.224772619649451
5,2023-06-01,USD -> EUR -> MXN -> JPY -> CHF -> AUD -> CNY,12.754362085697792
6,2023-07-01,USD -> EUR -> MXN -> JPY -> CHF -> AUD -> CNY,14.588000352283414
7,2023-08-01,USD -> EUR -> MXN -> JPY -> CHF -> AUD -> CNY,16.572106017656672
8,2023-09-01,USD -> EUR -> MXN -> JPY -> CHF -> AUD -> CNY,18.941636846429834
9,2023-10-01,USD -> EUR -> MXN -> JPY -> CHF -> AUD -> CNY,20.91972530572977
10,2023-11-01,USD -> EUR -> MXN -> JPY -> CHF -> AUD -> CNY,24.87299904286807
11,2023-12-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> CNY,29.68417916536906
12,2024-01-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> CNY,37.89240742707529
13,2024-02-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> CNY,49.10984946146656
14,2024-03-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> CNY,64.93449492036768
15,2024-04-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> CNY,88.62637864101556
16,2024-05-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> CNY,126.09631124392783
17,2024-06-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> CNY,188.06726614816674
18,2024-07-01,USD -> MXN -> JPY -> CHF -> AUD -> EUR -> KRW -> CNY,863.8112489243496
19,2024-08-01,USD -> MXN -> JPY -> CHF -> AUD -> EUR -> KRW -> CNY,40931.37952183833
20,2024-09-01,USD -> MXN -> JPY -> CHF -> AUD -> EUR -> KRW -> CNY,166865.13360671437
21,2024-10-01,USD -> MXN -> JPY -> CHF -> AUD -> EUR -> KRW -> CNY,476325.29762637225
22,2024-11-01,USD -> MXN -> JPY -> CHF -> AUD -> EUR -> KRW -> CNY,1149269.2332995774
23,2024-12-01,USD -> MXN -> JPY -> CHF -> AUD -> EUR -> KRW -> CNY,2586320.2537282878
24,2025-01-01,USD -> MXN -> JPY -> CHF -> AUD -> EUR -> KRW -> CNY,5800576.600048174
25,2025-02-01,USD -> MXN -> JPY -> CHF -> AUD -> EUR -> KRW -> CNY,13201606.489850027
26,2025-03-01,USD -> MXN -> JPY -> CHF -> AUD -> EUR -> KRW -> CNY,29138470.774679195
27,2025-04-01,USD -> MXN -> JPY -> CHF -> AUD -> EUR -> KRW -> CNY,56983016.630366355
28,2025-05-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> KRW -> CNY,150496974.02916107
29,2025-06-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> KRW -> CNY,376964099.9897865
30,2025-07-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> KRW -> CNY,893391952.1924975
31,2025-08-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> KRW -> CNY,2120980083.3652306
32,2025-09-01,USD -> MXN -> JPY -> CHF -> EUR -> AUD -> KRW -> CNY,5227753812.907732
33,2025-10-01,USD -> MXN -> EUR -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY,19840202138.403774
34,2025-11-01,USD -> MXN -> EUR -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY,69657264555.49312
35,2025-12-01,USD -> MXN -> EUR -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY,210488294570.70587
36,2026-01-01,USD -> MXN -> EUR -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY,585997328372.8247
37,2026-02-01,USD -> MXN -> EUR -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY,1626631879319.8733
38,2026-03-01,USD -> MXN -> EUR -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY,4411146880813.266
39,2026-04-01,USD -> MXN -> EUR -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY,11822698530025.943
40,2026-05-01,USD -> MXN -> EUR -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY,31828207895357.402
41,2026-06-01,USD -> MXN -> EUR -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY,87709631993762.75
