,date,optimal_path,max_rate_of_return
0,2023-01-01,USD -> JPY -> CHF -> MXN -> AUD -> CNY -> EUR,1.196567492552145
1,2023-02-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR,1.1971856737136581
2,2023-03-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR,1.2730917958131387
3,2023-04-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR,1.3696947819080905
4,2023-05-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR,1.4896102623178793
5,2023-06-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,1.6589568859153816
6,2023-07-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,1.8944902480785981
7,2023-08-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,2.163224996673397
8,2023-09-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,2.4975166866997514
9,2023-10-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,2.8193330452097003
10,2023-11-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,3.409723154174695
11,2023-12-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,4.137104000066138
12,2024-01-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,5.328371091001652
13,2024-02-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,6.990740739643429
14,2024-03-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,9.38925257781694
15,2024-04-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,13.061353686701619
16,2024-05-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,19.06222844229474
17,2024-06-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,29.412982550769243
18,2024-07-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,48.0269498185916
19,2024-08-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR,82.43390666064411
20,2024-09-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,1823.0167286703704
21,2024-10-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,14028.986223699525
22,2024-11-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,49214.84953708446
23,2024-12-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,141864.12370030492
24,2025-01-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,397836.27076665626
25,2025-02-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,1180057.0933615896
26,2025-03-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,3618874.59893735
27,2025-04-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,10571026.596588561
28,2025-05-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,27988241.209679615
29,2025-06-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,67533458.22742413
30,2025-07-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,158625386.32943472
31,2025-08-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,384126419.2742292
32,2025-09-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,969812174.8623579
33,2025-10-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,2559223783.235748
34,2025-11-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,6965547394.656814
35,2025-12-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,18504271537.14799
36,2026-01-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,46870134512.7166
37,2026-02-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,116024667056.53738
38,2026-03-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,285065225065.70764
39,2026-04-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,699773153819.7628
40,2026-05-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,1728782361090.413
41,2026-06-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,4340411043268.763
42,2026-07-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,11025260612450.225
43,2026-08-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,28073770828202.14
44,2026-09-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,72171591832326.33
45,2026-10-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,187505618250225.12
46,2026-11-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,476201839897130.2
47,2026-12-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,1174205231746278.8
48,2027-01-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,3097604079586740.0
49,2027-02-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,8087269650196839.0
50,2027-03-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,2.0874202826972708e+16
51,2027-04-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,5.326569131219433e+16
52,2027-05-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR,1.4154554389159144e+17
53,2027-06-01,USD -> RUB -> JPY -> CNY -> AUD -> KRW -> CHF -> MXN -> EUR,3.91253068603111e+17
54,2027-07-01,USD -> RUB -> JPY -> CNY -> AUD -> KRW -> CHF -> MXN -> EUR,1.2141546577244692e+18
55,2027-08-01,USD -> RUB -> JPY -> CNY -> AUD -> KRW -> CHF -> MXN -> EUR,3.9223082716243855e+18
56,2027-09-01,USD -> RUB -> JPY -> CNY -> AUD -> KRW -> CHF -> MXN -> EUR,9.04083458522179e+18
57,2027-10-01,USD -> RUB -> JPY -> CNY -> AUD -> KRW -> CHF -> MXN -> EUR,2.1665133550560965e+19
58,2027-11-01,USD -> RUB -> JPY -> MXN -> AUD -> KRW -> CNY -> CHF -> EUR,7.139865270458214e+19
59,2027-12-01,USD -> RUB -> JPY -> CNY -> AUD -> KRW -> CHF -> MXN -> EUR,4.050089816912279e+20
