,date,optimal_path,max_rate_of_return
0,2023-01-01,USD -> EUR -> AUD -> CNY -> CHF -> JPY,119.04184884145566
1,2023-02-01,USD -> EUR -> AUD -> CNY -> CHF -> JPY,119.46806267619273
2,2023-03-01,USD -> EUR -> AUD -> CNY -> JPY,122.84233869166079
3,2023-04-01,USD -> CHF -> EUR -> AUD -> CNY -> JPY,130.35566595852598
4,2023-05-01,USD -> CHF -> EUR -> AUD -> CNY -> JPY,138.9245800632252
5,2023-06-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,152.08924378057918
6,2023-07-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,166.42961941995586
7,2023-08-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,182.84208683193404
8,2023-09-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,202.33848662594585
9,2023-10-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,225.9063311358653
10,2023-11-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,261.9059640859897
11,2023-12-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,307.3043648847666
12,2024-01-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,372.3982135009013
13,2024-02-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,457.5240107582548
14,2024-03-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,573.7662563543306
15,2024-04-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,743.8288689751265
16,2024-05-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,1002.450255607737
17,2024-06-01,USD -> CHF -> AUD -> CNY -> EUR -> MXN -> JPY,1406.8492962173075
18,2024-07-01,USD -> CHF -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY,4513.578666624972
19,2024-08-01,USD -> CHF -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY,199047.77508165437
20,2024-09-01,USD -> CHF -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY,738603.9711565094
21,2024-10-01,USD -> CHF -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY,1895431.2994191959
22,2024-11-01,USD -> MXN -> CHF -> AUD -> EUR -> KRW -> CNY -> JPY,4359235.506646252
23,2024-12-01,USD -> MXN -> CHF -> AUD -> EUR -> KRW -> CNY -> JPY,9301472.697125064
24,2025-01-01,USD -> MXN -> CHF -> AUD -> EUR -> KRW -> CNY -> JPY,19071624.666401688
25,2025-02-01,USD -> MXN -> CHF -> AUD -> EUR -> KRW -> CNY -> JPY,36760037.018654935
26,2025-03-01,USD -> CHF -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY,63121712.213609695
27,2025-04-01,USD -> MXN -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY,196567271.38410035
28,2025-05-01,USD -> MXN -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY,588197841.7655014
29,2025-06-01,USD -> MXN -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY,1703463092.4793787
30,2025-07-01,USD -> MXN -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY,5277761866.512651
31,2025-08-01,USD -> MXN -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY,17156001972.500008
32,2025-09-01,USD -> MXN -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY,52754537666.54104
33,2025-10-01,USD -> MXN -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY,158100804070.75323
34,2025-11-01,USD -> MXN -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY,477876259927.2781
