,date,optimal_path,max_rate_of_return
0,2023-01-01,USD -> EUR -> AUD -> CNY -> JPY -> CHF -> MXN,31.1454660187436
1,2023-02-01,USD -> JPY -> CHF -> CNY -> EUR -> AUD -> MXN,30.43777734295051
2,2023-03-01,USD -> EUR -> AUD -> CNY -> JPY -> CHF -> MXN,32.615482083220435
3,2023-04-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,35.40668378441439
4,2023-05-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,39.11825969375968
5,2023-06-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,44.29603318792599
6,2023-07-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,50.94024503508785
7,2023-08-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,58.13979110137003
8,2023-09-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,66.80360843199547
9,2023-10-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,70.23091166678464
10,2023-11-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,80.79983422535514
11,2023-12-01,USD -> RUB -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,91.08277748660538
12,2024-01-01,USD -> RUB -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,113.50413966204502
13,2024-02-01,USD -> RUB -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,141.43236407188164
14,2024-03-01,USD -> RUB -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,178.8388068212189
15,2024-04-01,USD -> RUB -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,228.22428258740018
16,2024-05-01,USD -> RUB -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,294.77744474502714
17,2024-06-01,USD -> RUB -> JPY -> CHF -> AUD -> CNY -> EUR -> MXN,379.9302329465801
18,2024-07-01,USD -> EUR -> KRW -> CNY -> JPY -> CHF -> AUD -> MXN,1280.8557174869584
19,2024-08-01,USD -> EUR -> KRW -> CNY -> JPY -> CHF -> AUD -> MXN,52250.87606708792
20,2024-09-01,USD -> EUR -> KRW -> CNY -> JPY -> CHF -> AUD -> MXN,181032.86970758517
21,2024-10-01,USD -> EUR -> KRW -> CNY -> JPY -> CHF -> AUD -> MXN,438705.1644508736
22,2024-11-01,USD -> EUR -> KRW -> CNY -> JPY -> CHF -> AUD -> MXN,924485.0271262837
23,2024-12-01,USD -> EUR -> KRW -> CNY -> JPY -> CHF -> AUD -> MXN,1874260.191607437
24,2025-01-01,USD -> EUR -> KRW -> CNY -> JPY -> CHF -> AUD -> MXN,3914252.818438773
25,2025-02-01,USD -> EUR -> KRW -> CNY -> JPY -> CHF -> AUD -> MXN,8672376.949863523
26,2025-03-01,USD -> EUR -> KRW -> CNY -> JPY -> CHF -> AUD -> MXN,19846203.74113217
27,2025-04-01,USD -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> MXN,49525131.388091885
28,2025-05-01,USD -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> MXN,193067697.01064053
29,2025-06-01,USD -> RUB -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> MXN,583691930.0351703
30,2025-07-01,USD -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> MXN,1523495890.986941
31,2025-08-01,USD -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB -> JPY -> MXN,3714099326.661782
32,2025-09-01,USD -> KRW -> CNY -> AUD -> EUR -> RUB -> JPY -> CHF -> MXN,11848018876.522528
33,2025-10-01,USD -> KRW -> CNY -> AUD -> EUR -> RUB -> JPY -> CHF -> MXN,36151498868.7758
34,2025-11-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,119004912250.88599
35,2025-12-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,493357146888.9748
36,2026-01-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,1537964597310.88
37,2026-02-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,4471665715678.431
38,2026-03-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,12228293445878.47
39,2026-04-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,32875218898236.344
40,2026-05-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,90773981007374.34
41,2026-06-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,266757525734239.94
42,2026-07-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,815889541664542.2
43,2026-08-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,2516349649946683.5
44,2026-09-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,7696980686713027.0
45,2026-10-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,2.33196257144867e+16
46,2026-11-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,7.070507426903328e+16
47,2026-12-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,2.1182048581315728e+17
48,2027-01-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,6.578927158168526e+17
49,2027-02-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,2.0210454386579323e+18
50,2027-03-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,5.940167079890482e+18
51,2027-04-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,1.6767226114818404e+19
52,2027-05-01,USD -> KRW -> CNY -> EUR -> RUB -> JPY -> CHF -> AUD -> MXN,4.659173423176336e+19
