,date,optimal_path,max_rate_of_return
0,2023-01-01,USD -> JPY -> CHF -> MXN -> AUD -> CNY -> EUR -> RUB,95.35473114626683
1,2023-02-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,97.04664446416945
2,2023-03-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,105.84168471508616
3,2023-04-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,116.58060704147057
4,2023-05-01,USD -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,129.31798420403175
5,2023-06-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,147.6155713823329
6,2023-07-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,173.36947523051313
7,2023-08-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,203.08921765148074
8,2023-09-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,240.80298970606034
9,2023-10-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,271.759984546235
10,2023-11-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,337.3454263629419
11,2023-12-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,416.81897258161473
12,2024-01-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,556.1179182213887
13,2024-02-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,757.7254244709969
14,2024-03-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,1066.4301071973748
15,2024-04-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,1570.3427811955594
16,2024-05-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,2457.608040424454
17,2024-06-01,USD -> MXN -> JPY -> CHF -> AUD -> CNY -> EUR -> RUB,4127.938143602443
18,2024-07-01,USD -> CHF -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY -> RUB,9401.981043065003
19,2024-08-01,USD -> CHF -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY -> RUB,479188.68389886525
20,2024-09-01,USD -> CHF -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY -> RUB,2072546.6880185073
21,2024-10-01,USD -> CHF -> EUR -> KRW -> CNY -> AUD -> MXN -> JPY -> RUB,6174334.342183624
22,2024-11-01,USD -> MXN -> CHF -> AUD -> EUR -> KRW -> CNY -> JPY -> RUB,16245976.9074035
23,2024-12-01,USD -> MXN -> CHF -> AUD -> EUR -> KRW -> CNY -> JPY -> RUB,39171583.73327948
24,2025-01-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,109722510.16107555
25,2025-02-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,353819203.3934526
26,2025-03-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,1182603778.163115
27,2025-04-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,3743544798.84517
28,2025-05-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,10399664446.739698
29,2025-06-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,26145050335.413334
30,2025-07-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,65943668344.70519
31,2025-08-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,178392573795.74612
32,2025-09-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,503979849438.6403
33,2025-10-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,1488735963944.291
34,2025-11-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,4526526792898.533
35,2025-12-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,13138328697084.469
36,2026-01-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,36261801613001.414
37,2026-02-01,USD -> MXN -> JPY -> CHF -> AUD -> KRW -> CNY -> EUR -> RUB,99289773005797.3
