날짜,EUR/INR,JPY/INR,USD/INR,CNY/INR,INR/INR,RUB/INR,CHF/INR,MXN/INR,AUD/INR,KRW/INR,,
2010.1.1,63.9525,0.5108,46.125,6.7564,1,1.5188,43.483,3.5232,40.823,0.0398,,
2010.2.1,62.811,0.5188,46.105,6.7543,1,1.5402,42.937,3.6096,41.269,0.0397,,
2010.3.1,60.556,0.4796,44.825,6.5669,1,1.5229,42.541,3.6233,41.106,0.0396,,
2010.4.1,58.8765,0.4718,44.275,6.4829,1,1.5148,41.083,3.5982,40.939,0.0399,,
2010.5.1,57.0545,0.5081,46.365,6.7898,1,1.501,40.141,3.5859,39.25,0.0386,,
2010.6.1,56.8325,0.5252,46.445,6.8476,1,1.4857,43.102,3.5879,39.014,0.0379,,
2010.7.1,60.5495,0.5367,46.405,6.8492,1,1.5333,44.547,3.6684,41.958,0.0392,,
2010.8.1,59.709,0.5592,47.065,6.9123,1,1.5266,46.392,3.5622,41.893,0.0392,,
2010.9.1,60.7625,0.534,44.57,6.6577,1,1.4573,45.344,3.5278,43.076,0.0391,,
2010.10.1,61.799,0.5514,44.325,6.6424,1,1.4369,45.104,3.5882,43.574,0.0394,,
2010.11.1,59.418,0.5473,45.8,6.8666,1,1.4524,45.557,3.6643,43.844,0.0395,,
2010.12.1,59.791,0.5505,44.713,6.7818,1,1.4623,47.833,3.6177,45.728,0.0398,,
2011.1.1,62.7,0.5583,45.825,6.9308,1,1.5377,48.507,3.779,45.635,0.0409,,
2011.2.1,62.454,0.5535,45.265,6.8869,1,1.5675,48.693,3.7383,46.088,0.0402,,
2011.3.1,63.058,0.5355,44.535,6.7981,1,1.5656,48.444,3.7391,45.976,0.0406,,
2011.4.1,65.471,0.5448,44.255,6.8145,1,1.6147,51.062,3.847,48.509,0.0414,,
2011.5.1,64.857,0.5525,45.06,6.9529,1,1.6111,52.764,3.8936,48.069,0.0417,,
2011.6.1,64.818,0.5551,44.7,6.9126,1,1.6006,53.152,3.8149,47.894,0.0418,,
2011.7.1,63.626,0.576,44.21,6.8655,1,1.5996,56.241,3.7673,48.567,0.0419,,
2011.8.1,65.832,0.5977,45.8,7.1771,1,1.5879,56.79,3.7108,49,0.043,,
2011.9.1,65.595,0.6361,49.02,7.674,1,1.5227,53.958,3.5246,47.334,0.0415,,
2011.10.1,67.47,0.6227,48.695,7.6608,1,1.6109,55.481,3.6432,51.3,0.0437,,
2011.11.1,70.044,0.6722,52.13,8.1699,1,1.6963,57.03,3.8176,53.553,0.0457,,
2011.12.1,68.6,0.6889,53.015,8.4223,1,1.6462,56.49,3.7965,54.182,0.0457,,
2012.1.1,64.721,0.6494,49.515,7.8447,1,1.6325,53.758,3.7935,52.534,0.0439,,
2012.2.1,65.426,0.6052,49.11,7.8008,1,1.688,54.272,3.8203,52.704,0.0438,,
2012.3.1,67.876,0.6143,50.875,8.0765,1,1.7348,56.366,3.9702,52.605,0.0449,,
2012.4.1,69.709,0.66,52.665,8.3434,1,1.7921,58.01,4.0438,54.882,0.0466,,
2012.5.1,69.236,0.7151,56.04,8.7969,1,1.6773,57.62,3.898,54.5,0.0474,,
2012.6.1,70.252,0.6956,55.51,8.7342,1,1.713,58.495,4.1536,56.793,0.0486,,
2012.7.1,68.332,0.7112,55.56,8.7302,1,1.7238,56.881,4.1654,58.294,0.0491,,
2012.8.1,69.833,0.7084,55.525,8.7452,1,1.7213,58.118,4.2032,57.28,0.0489,,
2012.9.1,67.921,0.6784,52.855,8.4075,1,1.6941,56.201,4.1062,54.822,0.0474,,
2012.10.1,69.719,0.6742,53.805,8.6255,1,1.7162,57.732,4.1077,55.801,0.0493,,
2012.11.1,70.571,0.6581,54.265,8.7138,1,1.7577,58.552,4.1932,56.62,0.0501,,
2012.12.1,72.376,0.6324,54.995,8.8043,1,1.7948,59.925,4.2687,57.005,0.0516,,
2013.1.1,72.332,0.5819,53.275,8.5641,1,1.7734,58.482,4.1927,55.545,0.0489,,
2013.2.1,71.033,0.5872,54.37,8.7382,1,1.774,58.033,4.2572,55.534,0.0501,,
2013.3.1,69.576,0.5759,54.285,8.7393,1,1.7463,57.161,4.4051,56.543,0.0488,,
2013.4.1,70.675,0.5509,53.685,8.7068,1,1.7243,57.758,4.4232,55.661,0.0487,,
2013.5.1,73.513,0.5628,56.58,9.2209,1,1.7718,59.211,4.4127,54.137,0.05,,
2013.6.1,77.428,0.6003,59.533,9.6978,1,1.8125,63.001,4.5942,54.38,0.0521,,
2013.7.1,80.917,0.6215,60.855,9.9259,1,1.8456,65.666,4.7764,54.634,0.0541,,
2013.8.1,86.869,0.6692,65.705,10.7358,1,1.9743,70.615,4.9066,58.447,0.0592,,
2013.9.1,84.626,0.6369,62.59,10.2197,1,1.9309,69.136,4.7789,58.27,0.0582,,
2013.10.1,83.684,0.6264,61.624,10.1094,1,1.9202,67.939,4.7299,58.275,0.058,,
2013.11.1,84.78,0.6088,62.399,10.2374,1,1.8815,68.832,4.7585,56.836,0.0589,,
2013.12.1,84.944,0.5867,61.81,10.2078,1,1.8784,69.182,4.7387,55.082,0.0585,,
2014.1.1,84.524,0.6143,62.685,10.34,1,1.7814,69.122,4.6916,54.864,0.0579,,
