date,EUR/AUD,JPY/AUD,USD/AUD,CNY/AUD,INR/AUD,RUB/AUD,CHF/AUD,MXN/AUD,AUD/AUD,KRW/AUD
2010-01-01,1.5674,1.2523,1.1304,0.1656,2.449599,,1.0654,0.0864,1,0.001
2010-02-01,1.5224,1.25705,1.1169,0.1637,2.423126,,1.0407,0.0874,1,0.001
2010-03-01,1.4734,1.16665,1.0908,0.1598,2.432735,,1.035,0.0881,1,0.001
2010-04-01,1.4382,1.15255,1.0815,0.1584,2.442659,,1.0035,0.08788,1,0.001
2010-05-01,1.4536,1.29485,1.1813,0.173,2.547771,,1.0227,0.0914,1,0.001
2010-06-01,1.4567,1.3466,1.1905,0.1755,2.563182,,1.1049,0.09195,1,0.000972
2010-07-01,1.4431,1.2791,1.1058,0.1632,2.383336,,1.0617,0.08745,1,0.000934
2010-08-01,1.4247,1.3338,1.1225,0.1649,2.387034,,1.1065,0.08498,1,0.000935
2010-09-01,1.4101,1.23925,1.0342,0.1545,2.321478,,1.0527,0.08207,1,0.000907
2010-10-01,1.4182,1.2645,1.0164,0.1524,2.294947,,1.0346,0.08234,1,0.000903
2010-11-01,1.3551,1.2475,1.0437,0.1566,2.280814,,1.0394,0.08359,1,0.000901
2010-12-01,1.3075,1.2033,0.977,0.1482,2.186844,,1.0455,0.07908,1,0.000871
2011-01-01,1.3732,1.22215,1.0026,0.1517,2.191301,,1.0617,0.08281,1,0.000895
2011-02-01,1.3551,1.20055,0.9815,0.1493,2.169762,,1.056,0.08109,1,0.000872
2011-03-01,1.3713,1.16415,0.9681,0.1478,2.175048,,1.0535,0.08136,1,0.000882
2011-04-01,1.349,1.12245,0.9116,0.1404,2.061473,,1.0521,0.07929,1,0.000853
2011-05-01,1.3489,1.14935,0.9369,0.1446,2.080343,,1.0971,0.081,1,0.000869
2011-06-01,1.352,1.15815,0.9321,0.1442,2.087944,,1.1089,0.07954,1,0.000873
2011-07-01,1.3084,1.18495,0.9089,0.1412,2.059011,,1.1565,0.07751,1,0.000862
2011-08-01,1.3434,1.21975,0.9344,0.1464,2.040816,,1.1591,0.07574,1,0.000877
2011-09-01,1.3842,1.3428,1.0342,0.1619,2.112646,,1.1386,0.07444,1,0.000876
2011-10-01,1.3144,1.21335,0.9488,0.1494,1.949318,,1.0812,0.07093,1,0.000852
2011-11-01,1.3076,1.2546,0.973,0.1525,1.867309,,1.0646,0.07126,1,0.000853
2011-12-01,1.2657,1.2711,0.978,0.1554,1.845631,0.0305,1.0423,0.07006,1,0.000843
2012-01-01,1.2314,1.23555,0.9419,0.1493,1.903529,0.0312,1.0228,0.07218,1,0.000836
2012-02-01,1.2412,1.1477,0.9314,0.148,1.897389,0.0319,1.0297,0.07246,1,0.000832
2012-03-01,1.2892,1.16715,0.9662,0.1534,1.90096,0.0329,1.0706,0.07538,1,0.000853
2012-04-01,1.2698,1.20215,0.959,0.1519,1.822091,0.0326,1.0567,0.07362,1,0.000848
2012-05-01,1.2698,1.3116,1.0277,0.1613,1.834862,0.0309,1.0567,0.0715,1,0.00087
2012-06-01,1.2353,1.2237,0.9759,0.1537,1.76078,0.0301,1.0286,0.07304,1,0.000855
2012-07-01,1.1719,1.21955,0.9527,0.1496,1.715442,0.0296,0.9756,0.07139,1,0.000842
2012-08-01,1.2177,1.23585,0.9681,0.1524,1.74581,0.03,1.0134,0.07329,1,0.000853
2012-09-01,1.2386,1.2368,0.9636,0.1533,1.824085,0.0309,1.0249,0.07488,1,0.000865
2012-10-01,1.2487,1.20795,0.9638,0.1545,1.792083,0.0308,1.0339,0.07347,1,0.000883
2012-11-01,1.2461,1.1621,0.9581,0.1539,1.76616,0.0311,1.0339,0.07405,1,0.000884
2012-12-01,1.269,1.10855,0.9616,0.1543,1.754232,0.0315,1.0502,0.07486,1,0.000903
2013-01-01,1.302,1.0475,0.9588,0.1542,1.800342,0.032,1.053,0.07547,1,0.00088
2013-02-01,1.279,1.05725,0.9785,0.1573,1.800699,0.0319,1.0445,0.0766,1,0.000902
2013-03-01,1.23,1.01865,0.9596,0.1545,1.768566,0.0309,1.0105,0.07788,1,0.000863
2013-04-01,1.2693,0.98975,0.964,0.1564,1.79659,0.031,1.0373,0.07944,1,0.000875
2013-05-01,1.3572,1.0396,1.0444,0.1702,1.847166,0.0327,1.0931,0.08147,1,0.000923
2013-06-01,1.4223,1.1035,1.0934,0.1781,1.838911,0.0333,1.1573,0.08439,1,0.000956
2013-07-01,1.4802,1.13745,1.113,0.1816,1.830362,0.0339,1.2013,0.08738,1,0.00099
2013-08-01,1.4851,1.14465,1.1232,0.1835,1.710952,0.0337,1.2076,0.08388,1,0.001011
2013-09-01,1.4509,1.09265,1.0727,0.1752,1.716149,0.0331,1.1852,0.08193,1,0.000997
2013-10-01,1.4356,1.0748,1.057,0.1734,1.716002,0.0329,1.1655,0.08114,1,0.000996
2013-11-01,1.4912,1.07135,1.0973,0.1801,1.759448,0.0331,1.2107,0.0837,1,0.001037
2013-12-01,1.5404,1.06475,1.1207,0.1851,1.815475,0.0341,1.2546,0.08593,1,0.001061
2014-01-01,1.5397,1.11935,1.1418,0.1884,1.822689,0.0325,1.2592,0.08547,1,0.001055
2014-02-01,1.5454,1.10015,1.1197,0.1822,1.813105,0.0311,1.2718,0.08449,1,0.001049
2014-03-01,1.4859,1.04575,1.0791,0.1735,1.799305,0.0307,1.2195,0.08264,1,0.001013
2014-04-01,1.4921,1.05285,1.0761,0.1719,1.785268,0.0302,1.2221,0.08225,1,0.00104
2014-05-01,1.4634,1.05525,1.074,0.1719,1.815179,0.0308,1.1997,0.0835,1,0.001052
2014-06-01,1.4512,1.04635,1.06,0.1709,1.766098,0.0312,1.1952,0.08172,1,0.001047
2014-07-01,1.4399,1.0464,1.0755,0.1742,1.776799,0.0301,1.1834,0.08136,1,0.001046
2014-08-01,1.4055,1.029,1.0703,0.1742,1.770883,0.0289,1.1653,0.08176,1,0.001055
2014-09-01,1.444,1.0427,1.1432,0.1862,1.84662,0.0289,1.1966,0.08512,1,0.001083
2014-10-01,1.423,1.01195,1.1362,0.1859,1.852332,0.0264,1.1796,0.0843,1,0.001057
2014-11-01,1.4626,0.9904,1.1748,0.1912,1.889573,0.0236,1.2162,0.08429,1,0.001055
2014-12-01,1.4803,1.0226,1.2237,0.1971,1.942389,0.0202,1.2306,0.08294,1,0.001118
2015-01-01,1.4523,1.09595,1.2868,0.2059,2.076541,0.0184,1.3963,0.08582,1,0.001166
2015-02-01,1.4324,1.0709,1.2798,0.2041,2.077188,0.0209,1.342,0.08557,1,0.001161
2015-03-01,1.4104,1.09435,1.3144,0.212,2.111264,0.0217,1.3513,0.08611,1,0.001184
2015-04-01,1.4192,1.0598,1.2647,0.2039,1.992072,0.0245,1.356,0.08237,1,0.001173
2015-05-01,1.437,1.0542,1.3079,0.211,2.05478,0.025,1.3908,0.08503,1,0.001174
2015-06-01,1.4437,1.059,1.2965,0.209,2.041108,0.0235,1.3856,0.08237,1,0.001157
2015-07-01,1.5034,1.1045,1.3684,0.2204,2.140548,0.0222,1.4158,0.08492,1,0.001172
2015-08-01,1.5752,1.15965,1.4051,0.2203,2.118106,0.0219,1.4529,0.08387,1,0.001187
2015-09-01,1.5916,1.1885,1.4241,0.224,2.175521,0.0218,1.4626,0.08416,1,0.001201
2015-10-01,1.5409,1.16115,1.4002,0.2216,2.142016,0.0219,1.4165,0.08482,1,0.001226
2015-11-01,1.4608,1.1238,1.3829,0.2161,2.082509,0.0208,1.3442,0.08342,1,0.001191
2015-12-01,1.4907,1.14165,1.3727,0.2113,2.076455,0.0187,1.3695,0.07985,1,0.001166
2016-01-01,1.5287,1.16605,1.411,0.2145,2.080559,0.0188,1.3784,0.07787,1,0.001167
2016-02-01,1.5213,1.2425,1.3994,0.2135,2.054232,0.0186,1.4008,0.07712,1,0.001129
2016-03-01,1.485,1.15995,1.3051,0.2023,1.972075,0.0195,1.3561,0.07552,1,0.001139
2016-04-01,1.5063,1.23655,1.3151,0.2031,1.980629,0.0203,1.37,0.07655,1,0.001148
2016-05-01,1.5378,1.2488,1.3818,0.2098,2.058545,0.0207,1.3904,0.07481,1,0.00116
2016-06-01,1.4901,1.29965,1.3419,0.2018,1.989575,0.021,1.3745,0.07336,1,0.001163
2016-07-01,1.4703,1.28955,1.316,0.1983,1.976089,0.02,1.3569,0.07015,1,0.001182
2016-08-01,1.4843,1.2866,1.3305,0.1991,1.987439,0.02035,1.3516,0.07082,1,0.001191
2016-09-01,1.4644,1.2875,1.3031,0.1952,1.963325,0.02075,1.3411,0.06719,1,0.001182
2016-10-01,1.4425,1.25375,1.3139,0.1938,1.971104,0.02075,1.3281,0.06963,1,0.001149
2016-11-01,1.4333,1.1829,1.3534,0.1964,1.975036,0.02105,1.3297,0.06577,1,0.001148
2016-12-01,1.4567,1.1855,1.3856,0.1995,2.0399,0.02266,1.3598,0.06681,1,0.001147
2017-01-01,1.423,1.16875,1.318,0.1914,1.953965,0.02194,1.332,0.06326,1,0.001143
