date,EUR/CHF,JPY/CHF,USD/CHF,CNY/CHF,INR/CHF,RUB/CHF,CHF/CHF,MXN/CHF,AUD/CHF,KRW/CHF
2010.1.1,1.4706,1.1744,1.0606,0.1553,0.02299749,0.03493,1,0.081,0.9382,
2010.2.1,1.463,1.2083,1.0736,0.1573,0.02328994,0.03588,1,0.0841,0.961,
2010.3.1,1.4241,1.1274,1.0538,0.1544,0.02350673,0.0358,1,0.0851,0.9663,
2010.4.1,1.4331,1.1485,1.0777,0.1578,0.02434097,0.03687,1,0.08758,0.9965,
2010.5.1,1.4213,1.2662,1.155,0.1691,0.02491218,0.0374,1,0.08933,0.9778,
2010.6.1,1.3185,1.2188,1.0775,0.1588,0.02320078,0.03445,1,0.08326,0.9052,
2010.7.1,1.3592,1.2047,1.0417,0.1537,0.0224482,0.0344,1,0.08236,0.9418,
2010.8.1,1.2874,1.2055,1.0145,0.1489,0.02155544,0.03288,1,0.07687,0.9037,
2010.9.1,1.3393,1.1768,0.9823,0.1467,0.02205363,0.0321,1,0.07793,0.9498,
2010.10.1,1.3701,1.2214,0.9822,0.1472,0.02217098,0.03183,1,0.07955,0.9661,
2010.11.1,1.3034,1.1995,1.0043,0.1506,0.02195052,0.03183,1,0.08041,0.9622,
2010.12.1,1.2495,1.1492,0.934,0.1416,0.02090607,0.03052,1,0.0756,0.9557,
2011.1.1,1.2921,1.1493,0.9442,0.1428,0.02061558,0.03165,1,0.07788,0.9402,
2011.2.1,1.2824,1.1356,0.9288,0.1413,0.02053683,0.03217,1,0.07676,0.9458,
2011.3.1,1.3009,1.1042,0.9184,0.1402,0.02064239,0.03226,1,0.07717,0.9485,
2011.4.1,1.2801,1.0646,0.865,0.1332,0.01958404,0.03154,1,0.07522,0.9485,
2011.5.1,1.2285,1.0473,0.8538,0.1317,0.01895232,0.03052,1,0.07378,0.9112,
2011.6.1,1.2185,1.0432,0.8401,0.1299,0.01881397,0.03007,1,0.0717,0.9001,
2011.7.1,1.1303,1.0227,0.7852,0.122,0.01778062,0.0284,1,0.06692,0.8628,
2011.8.1,1.1585,1.0517,0.8057,0.1263,0.01760873,0.02792,1,0.0653,0.8622,
2011.9.1,1.2151,1.1777,0.9079,0.1422,0.01853293,0.02819,1,0.06529,0.8768,
2011.10.1,1.2153,1.1215,0.8772,0.138,0.01802419,0.02901,1,0.06562,0.924,
2011.11.1,1.2277,1.1769,0.9131,0.1432,0.01753463,0.02972,1,0.06692,0.9383,
2011.12.1,1.2133,1.218,0.9376,0.149,0.01770225,0.02911,1,0.06715,0.9583,0.0008
2012.1.1,1.2033,1.2066,0.9202,0.1459,0.01860188,0.03036,1,0.07054,0.9768,0.0008
2012.2.1,1.2046,1.1137,0.9042,0.1436,0.01842571,0.03108,1,0.07034,0.9705,0.0008
2012.3.1,1.2035,1.0888,0.902,0.1432,0.01774119,0.03076,1,0.0704,0.9328,0.0008
2012.4.1,1.2011,1.1367,0.9071,0.1438,0.01723841,0.03088,1,0.06968,0.9457,0.0008
2012.5.1,1.2007,1.2393,0.9716,0.1526,0.01735509,0.02908,1,0.0676,0.9449,0.0008
2012.6.1,1.2004,1.1878,0.9483,0.1492,0.01709548,0.02927,1,0.07097,0.9704,0.0008
2012.7.1,1.2009,1.2497,0.9763,0.1534,0.01758056,0.03029,1,0.0732,1.0245,0.0009
2012.8.1,1.2011,1.218,0.9549,0.1504,0.01720637,0.0296,1,0.07229,0.9852,0.0008
2012.9.1,1.2078,1.2055,0.9396,0.1495,0.01779328,0.03013,1,0.07302,0.9748,0.0008
2012.10.1,1.2066,1.1673,0.9309,0.1494,0.01732142,0.02972,1,0.07112,0.9658,0.0009
2012.11.1,1.2051,1.1237,0.9277,0.1488,0.01707884,0.03002,1,0.07161,0.9669,0.0009
2012.12.1,1.2074,1.0546,0.9155,0.1469,0.01668753,0.02994,1,0.0712,0.9509,0.0009
2013.1.1,1.2359,0.9941,0.9097,0.1463,0.01709928,0.03029,1,0.07162,0.9488,0.0008
2013.2.1,1.2235,1.0112,0.9361,0.1505,0.01723158,0.03056,1,0.07329,0.9562,0.0009
2013.3.1,1.2166,1.007,0.9491,0.1528,0.01749445,0.03053,1,0.07702,0.9887,0.0009
2013.4.1,1.2233,0.9535,0.9291,0.1507,0.01731362,0.02984,1,0.07656,0.9634,0.0008
2013.5.1,1.2409,0.9501,0.9549,0.1557,0.01688875,0.02991,1,0.07449,0.9138,0.0008
2013.6.1,1.2289,0.9528,0.9447,0.1539,0.01587276,0.02877,1,0.07292,0.8631,0.0008
2013.7.1,1.2317,0.9461,0.9261,0.1511,0.01522858,0.02809,1,0.07271,0.8316,0.0008
2013.8.1,1.2294,0.947,0.9298,0.1519,0.0141613,0.02793,1,0.06942,0.8269,0.0008
2013.9.1,1.2237,0.9209,0.9048,0.1478,0.01446424,0.02792,1,0.0691,0.8425,0.0008
2013.10.1,1.2313,0.9217,0.9066,0.1488,0.01471909,0.02825,1,0.0696,0.8575,0.0009
2013.11.1,1.2313,0.8842,0.9061,0.1487,0.01452813,0.02733,1,0.06911,0.8255,0.0009
2013.12.1,1.2272,0.8476,0.8928,0.1475,0.01445463,0.02714,1,0.06846,0.7958,0.0008
2014.1.1,1.2217,0.8879,0.906,0.1495,0.01446717,0.02575,1,0.06781,0.793,0.0008
2014.2.1,1.2139,0.8639,0.8795,0.1431,0.01424826,0.02439,1,0.06637,0.785,0.0008
2014.3.1,1.218,0.8567,0.8845,0.1423,0.01474709,0.02523,1,0.06774,0.8192,0.0008
2014.4.1,1.2206,0.8609,0.8803,0.1407,0.01459897,0.0247,1,0.0673,0.8174,0.0009
2014.5.1,1.2197,0.8792,0.8949,0.1432,0.01512676,0.02562,1,0.06958,0.8331,0.0009
2014.6.1,1.2141,0.875,0.8868,0.1429,0.01477061,0.02608,1,0.06837,0.8363,0.0009
2014.7.1,1.2163,0.8838,0.9085,0.1471,0.01500916,0.02543,1,0.06873,0.8445,0.0009
2014.8.1,1.2058,0.882,0.9182,0.1495,0.0151805,0.02477,1,0.07014,0.857,0.0009
2014.9.1,1.2063,0.8708,0.955,0.1556,0.01542829,0.02411,1,0.0711,0.8351,0.0009
2014.10.1,1.2058,0.857,0.9628,0.1575,0.01568997,0.02238,1,0.07143,0.8467,0.0009
2014.11.1,1.202,0.8136,0.9655,0.1572,0.01553181,0.01916,1,0.06927,0.8215,0.0009
2014.12.1,1.2026,0.8304,0.9941,0.1601,0.0157766,0.01713,1,0.06738,0.812,0.0009
2015.1.1,1.039,0.7837,0.9206,0.1473,0.01486215,0.01327,1,0.0614,0.7149,0.0008
2015.2.1,1.0667,0.797,0.953,0.152,0.01546814,0.0154,1,0.06372,0.7442,0.0009
2015.3.1,1.0435,0.8094,0.9725,0.1568,0.01561792,0.01671,1,0.06371,0.7396,0.0009
2015.4.1,1.0462,0.7809,0.9323,0.1503,0.01468364,0.01802,1,0.06072,0.7368,0.0009
2015.5.1,1.033,0.7571,0.9402,0.1517,0.01475536,0.01794,1,0.06113,0.7179,0.0008
2015.6.1,1.0415,0.7634,0.9353,0.1508,0.01471367,0.01691,1,0.05942,0.7206,0.0008
2015.7.1,1.0608,0.7789,0.9655,0.1555,0.01510688,0.01563,1,0.05992,0.705,0.0008
2015.8.1,1.084,0.7975,0.9669,0.1516,0.01456431,0.01514,1,0.05771,0.6875,0.0008
2015.9.1,1.0871,0.8113,0.9727,0.153,0.01486414,0.01489,1,0.05748,0.6825,0.0008
2015.10.1,1.0867,0.8186,0.9875,0.1563,0.01511168,0.01541,1,0.05982,0.7048,0.0009
2015.11.1,1.0865,0.8354,1.0286,0.1608,0.01548179,0.01549,1,0.06205,0.7433,0.0009
2015.12.1,1.088,0.8325,1.0018,0.1542,0.01514096,0.01371,1,0.05828,0.7288,0.0009
2016.1.1,1.108,0.8446,1.0227,0.1555,0.01508387,0.01353,1,0.05644,0.7243,0.0008
2016.2.1,1.0849,0.8854,0.998,0.1522,0.01464837,0.01326,1,0.055,0.7124,0.0008
2016.3.1,1.0935,0.8536,0.9611,0.149,0.01452686,0.01434,1,0.05561,0.7356,0.0008
2016.4.1,1.099,0.902,0.9595,0.1482,0.01445316,0.01483,1,0.05585,0.7294,0.0008
2016.5.1,1.1056,0.8971,0.9934,0.1508,0.01478896,0.01488,1,0.05378,0.7181,0.0008
2016.6.1,1.0836,0.9444,0.9759,0.1468,0.01446508,0.01523,1,0.05335,0.7268,0.0008
2016.7.1,1.0824,0.949,0.9688,0.146,0.01455498,0.01468,1,0.05165,0.7358,0.0009
2016.8.1,1.0971,0.9508,0.9836,0.1472,0.01470069,0.01502,1,0.05234,0.7389,0.0009
2016.9.1,1.0917,0.9584,0.9714,0.1455,0.01460195,0.01545,1,0.05009,0.7435,0.000882
2016.10.1,1.0857,0.9433,0.9889,0.1459,0.01483746,0.01562,1,0.05241,0.7525,0.000881
2016.11.1,1.077,0.8886,1.0172,0.1477,0.01483922,0.01586,1,0.04944,0.751,0.00085
2016.12.1,1.07,0.8705,1.0178,0.1465,0.01499745,0.01661,1,0.04907,0.7343,0.000849
2017.1.1,1.0679,0.8768,0.9892,0.1436,0.01466147,0.01642,1,0.04748,0.7501,0.000857
2017.2.1,1.0634,0.8914,1.0056,0.1464,0.0150825,0.01719,1,0.04999,0.77,0.00086
2017.3.1,1.0682,0.9002,1.0029,0.1455,0.01547102,0.01782,1,0.05354,0.765,0.000885
2017.4.1,1.0841,0.8919,0.995,0.1443,0.01548779,0.01746,1,0.05284,0.7447,0.000897
2017.5.1,1.0877,0.8734,0.9676,0.1421,0.01500668,0.01709,1,0.05196,0.7188,0.000875
2017.6.1,1.0944,0.8523,0.9581,0.1413,0.01483393,0.01626,1,0.05284,0.7364,0.000849
2017.7.1,1.1447,0.8768,0.9664,0.1437,0.01507091,0.01617,1,0.05428,0.7736,0.000854
2017.8.1,1.1413,0.8714,0.9585,0.1454,0.01499768,0.0165,1,0.05357,0.7615,0.000853
2017.9.1,1.1434,0.8604,0.968,0.1455,0.01482887,0.0168,1,0.05301,0.7582,0.000845
2017.10.1,1.1615,0.8777,0.9975,0.1503,0.01541402,0.01709,1,0.05209,0.7636,0.000892
2017.11.1,1.1704,0.8737,0.9834,0.1486,0.01525739,0.01681,1,0.05278,0.744,0.000904
2017.12.1,1.1688,0.8645,0.9743,0.1497,0.01526554,0.0169,1,0.04956,0.7601,0.000913
2018.1.1,1.1566,0.8526,0.9312,0.148,0.01466168,0.01657,1,0.05004,0.75,0.00087
