date,EUR/CNY,JPY/CNY,USD/CNY,CNY/CNY,INR/CNY,RUB/CNY,CHF/CNY,MXN/CNY,AUD/CNY,KRW/CNY
2010-01-01,9.4651,13.2228,6.8269,1,14.8008,0.2248,6.4371,0.5216,6.0393,0.5876
2010-02-01,9.3016,13.0185,6.8261,1,14.8055,0.2281,6.3578,0.5344,6.1114,0.5885
2010-03-01,9.2235,13.6927,6.8259,1,15.2279,0.2319,6.478,0.5515,6.2573,0.6027
2010-04-01,9.0762,13.7483,6.8252,1,15.4154,0.2335,6.3331,0.5547,6.311,0.6158
2010-05-01,8.4017,13.3629,6.8278,1,14.7263,0.221,5.9113,0.5281,5.7801,0.5681
2010-06-01,8.2985,13.0366,6.7817,1,14.6016,0.217,6.2937,0.5239,5.6966,0.5548
2010-07-01,8.8387,12.765,6.774,1,14.5976,0.2238,6.5028,0.5355,6.1247,0.5727
2010-08-01,8.6367,12.3635,6.8075,1,14.4642,0.2208,6.7103,0.5152,6.0615,0.568
2010-09-01,9.1229,12.4697,6.6917,1,15.0141,0.2188,6.8083,0.5297,6.4677,0.587
2010-10-01,9.3036,12.051,6.6707,1,15.0496,0.2162,6.7902,0.5402,6.56,0.593
2010-11-01,8.6518,12.5497,6.667,1,14.5569,0.2114,6.6352,0.5337,6.385,0.5758
2010-12-01,8.8148,12.3195,6.5906,1,14.74,0.2156,7.0519,0.5333,6.7416,0.5877
2011-01-01,9.0357,12.4194,6.605,1,14.4135,0.2217,6.9918,0.5447,6.5779,0.5901
2011-02-01,9.0677,12.4424,6.5716,1,14.5181,0.2276,7.0697,0.5427,6.6916,0.5847
2011-03-01,9.2757,12.6968,6.5486,1,14.7044,0.2303,7.1255,0.55,6.7624,0.5962
2011-04-01,9.6046,12.5092,6.491,1,14.6672,0.2369,7.4908,0.5643,7.1163,0.6071
2011-05-01,9.3265,12.5802,6.4795,1,14.3797,0.2316,7.5875,0.5599,6.9124,0.6007
2011-06-01,9.3747,12.4548,6.4642,1,14.4614,0.2314,7.6873,0.5516,6.9269,0.6038
2011-07-01,9.2646,11.9183,6.437,1,14.5601,0.2329,8.1893,0.5486,7.0719,0.6104
2011-08-01,9.1697,12.0094,6.379,1,13.9279,0.2212,7.9102,0.5169,6.8251,0.5991
2011-09-01,8.5363,12.0629,6.3822,1,13.0197,0.1983,7.0219,0.4587,6.1599,0.5404
2011-10-01,8.8057,12.3023,6.3552,1,13.0511,0.2102,7.241,0.4755,6.6953,0.5712
2011-11-01,8.5714,12.1546,6.3788,1,12.2363,0.2076,6.9789,0.4672,6.5534,0.559
2011-12-01,8.1449,12.2243,6.2939,1,11.872,0.1955,6.7071,0.4508,6.433,0.5428
2012-01-01,8.2477,12.0792,6.309,1,12.7416,0.208,6.8506,0.4834,6.6947,0.5602
2012-02-01,8.3861,12.8912,6.2938,1,12.8158,0.2164,6.9564,0.4896,6.7554,0.5623
2012-03-01,8.4028,13.1444,6.298,1,12.3794,0.2147,6.9778,0.4915,6.5122,0.5564
2012-04-01,8.3536,12.641,6.3099,1,11.9812,0.2148,6.9517,0.4846,6.5769,0.5583
2012-05-01,7.8693,12.3012,6.3688,1,11.3648,0.1906,6.5491,0.443,6.1944,0.5395
2012-06-01,8.0416,12.5537,6.3537,1,11.4459,0.1961,6.6958,0.4755,6.501,0.5567
2012-07-01,7.8245,12.2757,6.362,1,11.4505,0.1974,6.5133,0.477,6.6751,0.5627
2012-08-01,7.985,12.3445,6.3485,1,11.4336,0.1968,6.6455,0.4806,6.5496,0.5601
2012-09-01,8.0776,12.3948,6.2845,1,11.89,0.2015,6.6838,0.4883,6.5198,0.5645
2012-10-01,8.0828,12.7924,6.2372,1,11.5923,0.1989,6.693,0.4761,6.4692,0.5693
2012-11-01,8.0982,13.2409,6.2267,1,11.4746,0.2017,6.719,0.4812,6.4974,
2012-12-01,8.22,13.9202,6.2303,1,11.3557,0.2038,6.8059,0.4848,6.4743,
2013-01-01,8.4455,14.7194,6.2188,1,11.673,0.207,6.8284,0.4895,6.4854,
2013-02-01,8.1288,14.8823,6.2213,1,11.4427,0.203,6.641,0.4872,6.3551,0.574
2013-03-01,7.9607,15.165,6.2106,1,11.4411,0.1998,6.5402,0.504,6.4696,0.5583
2013-04-01,8.1164,15.7997,6.1647,1,11.4837,0.198,6.633,0.508,6.3922,0.5596
2013-05-01,7.9718,16.3749,6.1345,1,10.8426,0.1921,6.4209,0.4785,5.8707,0.5423
2013-06-01,7.9835,16.1491,6.1374,1,10.3095,0.1869,6.496,0.4737,5.6071,0.5375
2013-07-01,8.1508,15.9657,6.1284,1,10.0713,0.1859,6.6146,0.4811,5.5033,0.5454
