date,KRW,JPY,MXN,USD,CHF,AUD,INR,CNY,EUR
2010-01-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-02-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-03-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-04-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-05-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-06-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-07-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-08-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-09-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-10-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-11-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2010-12-01,23083,44968,9400,48651,76531,52132,1350.634,4550.474,19344.36933
2011-01-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-02-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-03-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-04-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-05-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-06-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-07-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-08-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-09-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-10-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-11-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2011-12-01,25100,48760,10342,50066,90477,62599,1449.603,5614.386,23220.99633
2012-01-01,25458,49145,10376,51784,85836,68047,1434.018,6300.582,25260.53333
2012-02-01,25458,49145,10376,51784,85836,68047,1434.018,6300.582,25260.53333
2012-03-01,25458,49145,10376,51784,85836,68047,1434.018,6300.582,25260.53333
2012-04-01,25458,49145,10376,51784,85836,68047,1434.018,6300.582,25260.53333
2012-05-01,25458,49145,10376,51784,85836,68047,1434.018,6300.582,25260.53333
2012-06-01,25458,49145,10376,51784,85836,68047,1434.018,6300.582,25260.53333
2012-07-01,25458,49145,10376,51784,85836,68047,1434.018,6300.582,25260.53333
2012-08-01,25458,49145,10376,51784,85836,68047,1434.018,6300.582,25260.53333
