date,EUR/KRW,JPY/KRW,USD/KRW,CNY/KRW,INR/KRW,RUB/KRW,CHF/KRW,MXN/KRW,AUD/KRW,KRW/KRW
2010.1.1,"1,606.93",12.8382,"1,158.90",169.76,25.1599,38.16,"1,092.53",89.43,"1,025.16",1
2010.2.1,"1,580.33",13.052,"1,160.00",169.94,25.1599,38.75,"1,080.43",90.47,"1,038.32",1
2010.3.1,"1,530.59",12.1201,"1,132.80",165.76,25.2716,38.47,"1,074.76",91.56,"1,038.55",1
2010.4.1,"1,474.09",11.8133,"1,108.50",162.42,25.0367,37.93,"1,028.58",89.92,"1,024.97",1
2010.5.1,"1,479.28",13.1747,"1,202.12",176.1,25.9274,38.92,"1,040.76",92.85,"1,017.66",1
2010.6.1,"1,496.83",13.8345,"1,223.25",180.38,26.3376,39.08,"1,135.21",94.91,"1,027.53",1
2010.7.1,"1,543.26",13.6782,"1,182.75",174.6,25.4875,39.05,"1,135.40",93.75,"1,069.39",1
2010.8.1,"1,521.11",14.2449,"1,199.00",176.12,25.4754,38.84,"1,181.86",90.94,"1,066.82",1
2010.9.1,"1,554.51",13.6606,"1,140.25",170.39,25.5833,37.27,"1,160.17",90.37,"1,102.13",1
2010.10.1,"1,567.64",13.9801,"1,124.50",168.57,25.3496,36.43,"1,144.14",90.58,"1,105.34",1
2010.11.1,"1,501.55",13.8215,"1,157.00",173.76,25.251,36.69,"1,151.36",93.16,"1,108.06",1
2010.12.1,"1,498.78",13.7942,"1,120.50",170.13,25.0531,36.64,"1,199.04",90.83,"1,146.27",1
2011.1.1,"1,532.25",13.6344,"1,119.25",169.55,24.4111,37.54,"1,185.40",92.46,"1,115.22",1
2011.2.1,"1,551.90",13.7505,"1,124.65",171.25,24.8432,38.95,"1,209.95",92.68,"1,145.23",1
2011.3.1,"1,551.67",13.1718,"1,095.50",167.44,24.5903,38.49,"1,192.06",92.49,"1,131.32",1
2011.4.1,"1,580.53",13.1446,"1,068.00",164.61,24.1247,38.95,"1,232.69",93.06,"1,171.06",1
2011.5.1,"1,551.78",13.2156,"1,078.00",166.47,23.921,38.53,"1,262.44",92.82,"1,150.12",1
2011.6.1,"1,546.56",13.2394,"1,066.30",165,23.8493,38.18,"1,268.20",91.39,"1,142.75",1
2011.7.1,"1,517.23",13.7275,"1,054.00",163.79,23.8354,38.13,"1,341.14",90.39,"1,158.14",1
