date,EUR/MXN,JPY/MXN,USD/MXN,CNY/MXN,INR/MXN,RUB/MXN,CHF/MXN,MXN/MXN,AUD/MXN,KRW/MXN
2010-01-01,18.1633,0.1451,13.099,1.9171,0.284,0.4313,12.3548,1,11.59,89.43
2010-02-01,17.4048,0.1437,12.7733,1.8713,0.2771,0.4267,11.8965,1,11.4329,90.47
2010-03-01,16.7188,0.1325,12.3777,1.8133,0.2761,0.4205,11.7386,1,11.342,91.56
2010-04-01,16.3632,0.1311,12.305,1.8028,0.2779,0.421,11.4178,1,11.3778,89.92
2010-05-01,15.911,0.1417,12.93,1.8908,0.2788,0.4186,11.1944,1,10.9459,92.85
2010-06-01,15.8371,0.1464,12.9425,1.9082,0.2787,0.414,12.011,1,10.8717,94.91
2010-07-01,16.5025,0.1462,12.6475,1.8668,0.2726,0.4179,12.1412,1,11.4352,93.75
2010-08-01,16.7443,0.1568,13.1985,1.9379,0.2804,0.4281,13.0086,1,11.7421,90.94
2010-09-01,17.1874,0.151,12.6072,1.88,0.2828,0.4122,12.803,1,12.1651,90.37
2010-10-01,17.2239,0.1535,12.3469,1.8506,0.2785,0.4002,12.5661,1,12.14,90.58
2010-11-01,16.2125,0.1492,12.4925,1.8726,0.2727,0.3962,12.425,1,11.9589,93.16
2010-12-01,16.5288,0.152,12.3575,1.8743,0.2764,0.4041,13.2101,1,12.6287,90.83
2011-01-01,16.5883,0.1476,12.1162,1.8341,0.2644,0.4065,12.8337,1,12.0716,92.46
2011-02-01,16.7066,0.148,12.1067,1.8418,0.2675,0.4193,13.0211,1,12.3246,92.68
2011-03-01,16.8582,0.143,11.9039,1.8173,0.2672,0.4185,12.9503,1,12.2905,92.49
2011-04-01,17.0129,0.1415,11.496,1.7708,0.2598,0.4195,13.2687,1,12.6054,93.06
2011-05-01,16.6517,0.1418,11.5677,1.7851,0.2567,0.4136,13.5469,1,12.3416,92.82
2011-06-01,16.9794,0.1453,11.7067,1.8106,0.262,0.4194,13.9233,1,12.5461,91.39
2011-07-01,16.8745,0.1527,11.7225,1.8209,0.2652,0.4244,14.916,1,12.8807,90.39
2011-08-01,17.722,0.1608,12.3354,1.934,0.2694,0.4277,15.2879,1,13.1907,86.63
2011-09-01,18.5971,0.1802,13.895,2.1757,0.2835,0.4317,15.2978,1,13.4198,85.24
2011-10-01,18.5136,0.1708,13.3515,2.1023,0.2744,0.442,15.2239,1,14.0766,83.82
2011-11-01,18.3308,0.1758,13.635,2.1373,0.2617,0.444,14.925,1,14.01,83.8
2011-12-01,18.048,0.1812,13.9464,2.2158,0.2632,0.4333,14.8619,1,14.2546,83.19
2012-01-01,17.0559,0.171,13.0426,2.0672,0.2633,0.4302,14.1667,1,13.8443,86.05
2012-02-01,17.112,0.1583,12.84,2.0404,0.2614,0.4414,14.1948,1,13.7846,87.11
2012-03-01,17.0804,0.1545,12.801,2.0335,0.2517,0.4368,14.1839,1,13.2375,88.45
2012-04-01,17.227,0.163,13.0113,2.0622,0.247,0.4429,14.3359,1,13.563,86.84
2012-05-01,17.7571,0.1833,14.3696,2.2562,0.2564,0.4302,14.778,1,13.9778,82.3
2012-06-01,16.9017,0.1672,13.3526,2.1014,0.2405,0.4121,14.0731,1,13.6637,85.37
2012-07-01,16.4017,0.1707,13.3245,2.0946,0.2398,0.4136,13.6531,1,13.9923,84.76
2012-08-01,16.5967,0.1683,13.1889,2.0784,0.2376,0.4091,13.8124,1,13.6133,85.79
2012-09-01,16.527,0.165,12.8563,2.0458,0.2432,0.4122,13.6753,1,13.3397,86.5
2012-10-01,16.9679,0.164,13.0974,2.0982,0.2432,0.4175,14.0455,1,13.5806,83.19
2012-11-01,16.8168,0.1568,12.945,2.0761,0.2382,0.4188,13.9527,1,13.4925,83.58
2012-12-01,16.9507,0.148,12.8642,2.0612,0.234,0.4202,14.0335,1,13.3499,82.74
2013-01-01,17.2477,0.1387,12.705,2.0419,0.2383,0.4228,13.9452,1,13.2447,85.58
2013-02-01,16.6806,0.1379,12.7761,2.0524,0.2348,0.4167,13.6277,1,13.0409,84.88
2013-03-01,15.779,0.1306,12.31,1.982,0.2267,0.396,12.9634,1,12.8233,90.17
2013-04-01,15.973,0.1245,12.132,1.9678,0.226,0.3897,13.0536,1,12.5797,90.74
2013-05-01,16.631,0.1273,12.798,2.0861,0.2262,0.4008,13.3954,1,12.2477,88.18
2013-06-01,16.8271,0.1305,12.936,2.1076,0.2173,0.3939,13.6918,1,11.8183,88.1
2013-07-01,16.9276,0.13,12.7275,2.0765,0.2091,0.3861,13.7372,1,11.4293,88.18
2013-08-01,17.6785,0.1362,13.3705,2.1848,0.2035,0.4018,14.3707,1,11.8944,82.85
2013-09-01,17.7029,0.1332,13.089,2.1377,0.2091,0.4039,14.4614,1,12.1885,81.99
2013-10-01,17.6743,0.1323,13.013,2.1351,0.2111,0.4056,14.3489,1,12.3077,81.44
2013-11-01,17.7934,0.1278,13.094,2.1486,0.2098,0.3949,14.4462,1,11.9286,80.68
2013-12-01,17.9118,0.1237,13.0315,2.1525,0.2108,0.3961,14.588,1,11.615,80.92
2014-01-01,18.0058,0.1309,13.3525,2.2027,0.213,0.3795,14.7249,1,11.6874,80.86
2014-02-01,18.2711,0.13,13.238,2.1542,0.2142,0.3672,15.0363,1,11.8162,80.44
2014-03-01,17.9805,0.1265,13.0577,2.1,0.2175,0.3724,14.7561,1,12.094,81.53
2014-04-01,18.1313,0.1278,13.0761,2.089,0.2167,0.3668,14.844,1,12.1385,78.94
2014-05-01,17.5223,0.1263,12.8557,2.0573,0.2171,0.3681,14.3607,1,11.9674,79.33
2014-06-01,17.7509,0.1279,12.9654,2.0898,0.2158,0.3814,14.6188,1,12.2264,77.98
2014-07-01,17.6941,0.1286,13.2164,2.1405,0.2182,0.3699,14.5427,1,12.2846,77.75
2014-08-01,17.1834,0.1257,13.0851,2.1298,0.2162,0.353,14.2462,1,12.2123,77.45
2014-09-01,16.9565,0.1224,13.4245,2.1868,0.2167,0.3389,14.0512,1,11.7397,78.52
2014-10-01,16.8767,0.1199,13.4755,2.2044,0.2194,0.3133,13.9903,1,11.8504,79.58
2014-11-01,17.3497,0.1174,13.9355,2.2684,0.224,0.2766,14.426,1,11.8577,79.81
2014-12-01,17.8358,0.1232,14.744,2.3751,0.2339,0.254,14.827,1,12.0429,74.07
2015-01-01,16.9109,0.1276,14.984,2.3972,0.2416,0.216,16.2587,1,11.6366,73.46
2015-02-01,16.7291,0.125,14.946,2.3839,0.2424,0.2415,15.6732,1,11.6713,73.59
2015-03-01,16.3727,0.127,15.2588,2.4611,0.2449,0.2621,15.6871,1,11.6043,72.58
2015-04-01,17.2183,0.1285,15.3433,2.4732,0.2415,0.2966,16.4504,1,12.1258,70.1
2015-05-01,16.8914,0.1238,15.374,2.4802,0.2411,0.2934,16.3484,1,11.7396,72.3
