date,EUR/USD,JPY/USD,USD/USD,CNY/USD,INR/USD,RUB/USD,CHF/USD,MXN/USD,AUD/USD,KRW/USD
2010-01-01,1.3863,1.10725,1,0.1465,0.0163,0.033,0.9427,0.0764,0.8847,0.0009
2010-02-01,1.3626,1.12515,1,0.1465,0.0163,0.0335,0.9314,0.0783,0.8951,0.0009
2010-03-01,1.3512,1.07,1,0.1465,0.0163,0.034,0.949,0.0807,0.9167,0.0009
2010-04-01,1.3298,1.0657,1,0.1465,0.0163,0.0342,0.9279,0.08127,0.9246,0.0009
2010-05-01,1.2306,1.0962,1,0.1465,0.0163,0.0324,0.8658,0.07734,0.8466,0.0009
2010-06-01,1.2236,1.13115,1,0.1475,0.0163,0.032,0.9281,0.07725,0.84,0.0009
2010-07-01,1.3048,1.15645,1,0.1476,0.0163,0.033,0.9599,0.07906,0.9042,0.0009
2010-08-01,1.2687,1.18805,1,0.1469,0.0163,0.0324,0.9857,0.07569,0.8909,0.0009
2010-09-01,1.3633,1.1981,1,0.1494,0.0163,0.0326,1.0175,0.07917,0.9668,0.0009
2010-10-01,1.395,1.2438,1,0.1499,0.0163,0.0324,1.0179,0.08098,0.9837,0.0009
2010-11-01,1.298,1.1946,1,0.15,0.0163,0.0317,0.9956,0.08004,0.9577,0.0009
2010-12-01,1.3379,1.2311,1,0.1517,0.0163,0.0327,1.0701,0.08088,1.0217,0.0009
2011-01-01,1.3686,1.2182,1,0.1513,0.0163,0.0335,1.0592,0.08252,0.9963,0.0009
2011-02-01,1.3802,1.2226,1,0.1522,0.0163,0.0346,1.0758,0.0826,1.0183,0.0009
2011-03-01,1.4165,1.2019,1,0.1527,0.0163,0.0351,1.0881,0.08399,1.0327,0.0009
2011-04-01,1.4799,1.2308,1,0.154,0.0163,0.0365,1.1542,0.08696,1.0965,0.0009
2011-05-01,1.4394,1.2261,1,0.1543,0.0163,0.0357,1.1707,0.08642,1.0668,0.0009
2011-06-01,1.4504,1.2416,1,0.1547,0.0163,0.0358,1.1893,0.08536,1.0717,0.0009
2011-07-01,1.4395,1.3024,1,0.1553,0.0163,0.0361,1.2724,0.08523,1.0988,0.0009
2011-08-01,1.4377,1.3051,1,0.1567,0.0163,0.0346,1.2405,0.08104,1.0701,0.0009
2011-09-01,1.3384,1.2972,1,0.1566,0.0163,0.031,1.101,0.07192,0.9658,0.0009
2011-10-01,1.3856,1.2786,1,0.1573,0.0163,0.033,1.1393,0.07482,1.0535,0.0009
2011-11-01,1.3441,1.2887,1,0.1568,0.0163,0.0325,1.0942,0.07326,1.0275,0.0009
2011-12-01,1.2945,1.299,1,0.1589,0.0163,0.031,1.0656,0.07162,1.0225,0.0009
2012-01-01,1.3078,1.311,1,0.1585,0.0163,0.0329,1.0859,0.07664,1.0614,0.0009
2012-02-01,1.3324,1.232,1,0.1589,0.0163,0.0343,1.1056,0.07781,1.0729,0.0009
2012-03-01,1.3343,1.2071,1,0.1588,0.0163,0.034,1.108,0.07805,1.0341,0.0009
2012-04-01,1.324,1.2531,1,0.1585,0.0163,0.034,1.1018,0.07681,1.0423,0.0009
2012-05-01,1.2356,1.2758,1,0.157,0.0163,0.0299,1.0286,0.06957,0.9727,0.0008
2012-06-01,1.2658,1.2525,1,0.1574,0.0163,0.0308,1.054,0.07484,1.0233,0.0009
2012-07-01,1.2303,1.2799,1,0.1572,0.0163,0.031,1.024,0.07498,1.05,0.0009
2012-08-01,1.2575,1.2755,1,0.1575,0.0163,0.0309,1.0468,0.07571,1.032,0.0009
2012-09-01,1.2858,1.283,1,0.1591,0.0163,0.032,1.0636,0.07771,1.0377,0.0009
2012-10-01,1.2958,1.253,1,0.1603,0.0163,0.0319,1.0731,0.07634,1.0373,0.0009
2012-11-01,1.2984,1.2127,1,0.1606,0.0163,0.0323,1.0791,0.07728,1.0426,0.0009
2012-12-01,1.3194,1.1522,1,0.1605,0.0163,0.0327,1.0923,0.07782,1.0393,0.0009
2013-01-01,1.3578,1.0922,1,0.1608,0.0163,0.0332,1.0983,0.07872,1.0422,0.0009
2013-02-01,1.3056,1.0798,1,0.1607,0.0163,0.0326,1.0675,0.07826,1.0212,0.0009
2013-03-01,1.2818,1.061,1,0.161,0.0163,0.0321,1.0531,0.08116,1.0417,0.0009
2013-04-01,1.3166,1.0263,1,0.1622,0.0163,0.0321,1.076,0.0824,1.0369,0.0009
2013-05-01,1.2995,0.9949,1,0.163,0.0163,0.0313,1.0467,0.078,0.957,0.0009
2013-06-01,1.3008,1.0086,1,0.1629,0.0163,0.0305,1.0584,0.07718,0.9136,0.0009
2013-07-01,1.33,1.0216,1,0.1631,0.0163,0.0303,1.0793,0.07851,0.898,0.0009
2013-08-01,1.322,1.0185,1,0.1634,0.0163,0.03,1.0748,0.07468,0.8896,0.0009
2013-09-01,1.3524,1.0178,1,0.1633,0.0163,0.0309,1.1049,0.07637,0.9312,0.0009
2013-10-01,1.3582,1.0167,1,0.1641,0.0163,0.0312,1.1027,0.07677,0.9458,0.0009
