date,KOR_Interest Rate(percent),Japan_Interest Rate(percent),USA_Interest Rate(percent),Russia_Interest Rate(percent),CH_Interest Rate(percent),AUD_Interest Rate(percent),China_Interest Rate(percent),INDIA_Interest Rate(percent),Mexico_Interest Rate(percent),Euro Area Refinancing Rate(percent)
2010-01-01,2.375,0.10,0.125 ,6.00 ,0.25 ,3.75,5.22,4.75 ,3.5,1.00
2010-02-01,2.375,0.10,0.125 ,6.00 ,0.25 ,3.75,5.22,4.75 ,3.5,1.00
2010-03-01,2.375,0.10,0.125 ,5.75 ,0.25 ,4.00,5.22,4.75 ,3.5,1.00
2010-04-01,2.375,0.10,0.125 ,5.50 ,0.25 ,4.25,5.22,4.85 ,3.5,1.00
2010-05-01,2.375,0.10,0.125 ,5.25 ,0.25 ,4.50,5.22,5.10 ,3.5,1.00
2010-06-01,2.375,0.10,0.125 ,5.25 ,0.25 ,4.50,5.22,5.25 ,3.5,1.00
2010-07-01,2.375,0.10,0.125 ,5.00 ,0.25 ,4.50,5.22,5.25 ,3.5,1.00
2010-08-01,2.375,0.10,0.125 ,5.00 ,0.25 ,4.50,5.22,5.53 ,3.5,1.00
2010-09-01,2.375,0.10,0.125 ,5.00 ,0.25 ,4.50,5.22,5.75 ,3.5,1.00
2010-10-01,2.375,0.05,0.125 ,5.00 ,0.25 ,4.50,5.22,5.88 ,3.5,1.00
2010-11-01,2.375,0.05,0.125 ,5.00 ,0.25 ,4.75,5.22,6.00 ,3.5,1.00
2010-12-01,2.375,0.05,0.125 ,5.00 ,0.25 ,4.75,5.22,6.25 ,3.5,1.00
2011-01-01,3,0.05,0.125 ,5.00 ,0.25 ,4.75,5.85,6.25 ,3.5,1.00
2011-02-01,3,0.05,0.125 ,5.00 ,0.25 ,4.75,5.85,6.31 ,3.5,1.00
2011-03-01,3,0.05,0.125 ,5.25 ,0.25 ,4.75,5.85,6.50 ,3.5,1.00
2011-04-01,3,0.05,0.125 ,5.25 ,0.25 ,4.75,5.85,6.62 ,3.5,1.25
2011-05-01,3,0.05,0.125 ,5.25 ,0.25 ,4.75,5.85,6.75 ,3.5,1.25
2011-06-01,3,0.05,0.125 ,8.25 ,0.25 ,4.75,5.85,7.23 ,3.5,1.25
2011-07-01,3,0.05,0.125 ,8.25 ,0.25 ,4.75,5.85,7.38 ,3.5,1.50
2011-08-01,3,0.05,0.125 ,8.25 ,0.00 ,4.75,5.85,7.60 ,3.5,1.50
2011-09-01,3,0.05,0.125 ,8.25 ,0.00 ,4.75,5.85,8.00 ,3.5,1.50
2011-10-01,3,0.05,0.125 ,8.25 ,0.00 ,4.75,5.85,8.13 ,3.5,1.50
2011-11-01,3,0.05,0.125 ,8.25 ,0.00 ,4.50,5.85,8.31 ,3.5,1.25
2011-12-01,3,0.05,0.125 ,8.00 ,0.00 ,4.25,5.85,8.50 ,3.5,1.00
2012-01-01,2.875,0.05,0.125 ,8.00 ,0.00 ,4.25,5.72,8.50 ,3.5,1.00
2012-02-01,2.875,0.05,0.125 ,8.00 ,0.00 ,4.25,5.72,8.50 ,3.5,1.00
2012-03-01,2.875,0.05,0.125 ,8.00 ,0.00 ,4.25,5.72,8.50 ,3.5,1.00
2012-04-01,2.875,0.05,0.125 ,8.00 ,0.00 ,4.25,5.72,8.00 ,3.5,1.00
2012-05-01,2.875,0.05,0.125 ,8.00 ,0.00 ,3.75,5.72,8.00 ,3.5,1.00
2012-06-01,2.875,0.05,0.125 ,8.00 ,0.00 ,3.50,5.72,8.00 ,3.5,1.00
2012-07-01,2.875,0.05,0.125 ,8.00 ,0.00 ,3.50,5.72,8.00 ,3.5,0.75
2012-08-01,2.875,0.05,0.125 ,8.00 ,0.00 ,3.50,5.72,8.00 ,3.5,0.75
2012-09-01,2.875,0.05,0.125 ,8.25 ,0.00 ,3.50,5.72,8.00 ,3.5,0.75
2012-10-01,2.875,0.05,0.125 ,8.25 ,0.00 ,3.25,5.72,8.00 ,3.5,0.75
2012-11-01,2.875,0.05,0.125 ,8.25 ,0.00 ,3.25,5.72,8.00 ,3.5,0.75
2012-12-01,2.875,0.05,0.125 ,8.25 ,0.00 ,3.00,5.72,8.00 ,3.5,0.75
2013-01-01,2.5,0.05,0.125 ,8.25 ,0.00 ,3.00,5.73,7.75 ,3.5,0.75
2013-02-01,2.5,0.05,0.125 ,8.25 ,0.00 ,3.00,5.73,7.75 ,3.5,0.75
2013-03-01,2.5,0.05,0.125 ,8.25 ,0.00 ,3.00,5.73,7.50 ,3.5,0.75
2013-04-01,2.5,0.10,0.125 ,8.25 ,0.00 ,3.00,5.73,7.50 ,3.5,0.75
2013-05-01,2.5,0.10,0.125 ,8.25 ,0.00 ,2.75,5.73,7.25 ,3.5,0.50
2013-06-01,2.5,0.10,0.125 ,8.25 ,0.00 ,2.75,5.73,7.25 ,3.5,0.50
2013-07-01,2.5,0.10,0.125 ,8.25 ,0.00 ,2.75,5.73,7.25 ,3.5,0.50
2013-08-01,2.5,0.10,0.125 ,8.25 ,0.00 ,2.50,5.73,7.25 ,3.5,0.50
2013-09-01,2.5,0.10,0.125 ,8.25 ,0.00 ,2.50,5.73,7.50 ,3.5,0.50
2013-10-01,2.5,0.10,0.125 ,5.50 ,0.00 ,2.50,5.73,7.75 ,3.5,0.50
2013-11-01,2.5,0.10,0.125 ,5.50 ,0.00 ,2.50,5.73,7.75 ,3.5,0.25
2013-12-01,2.5,0.10,0.125 ,5.50 ,0.00 ,2.50,5.73,7.75 ,3.5,0.25
2014-01-01,2.375,0.10,0.125 ,5.50 ,0.00 ,2.50,5.51,8.00 ,3,0.25
2014-02-01,2.375,0.10,0.125 ,5.50 ,0.00 ,2.50,5.51,8.00 ,3,0.25
2014-03-01,2.375,0.10,0.125 ,7.00 ,0.00 ,2.50,5.51,8.00 ,3,0.25
2014-04-01,2.375,0.10,0.125 ,7.50 ,0.00 ,2.50,5.51,8.00 ,3,0.25
2014-05-01,2.375,0.10,0.125 ,7.50 ,0.00 ,2.50,5.51,8.00 ,3,0.25
2014-06-01,2.375,0.10,0.125 ,7.50 ,0.00 ,2.50,5.51,8.00 ,3,0.15
2014-07-01,2.375,0.10,0.125 ,8.00 ,0.00 ,2.50,5.51,8.00 ,3,0.15
2014-08-01,2.375,0.10,0.125 ,8.00 ,0.00 ,2.50,5.51,8.00 ,3,0.15
2014-09-01,2.375,0.10,0.125 ,8.00 ,0.00 ,2.50,5.51,8.00 ,3,0.05
2014-10-01,2.375,0.10,0.125 ,9.50 ,0.00 ,2.50,5.51,8.00 ,3,0.05
2014-11-01,2.375,0.10,0.125 ,9.50 ,0.00 ,2.50,5.51,8.00 ,3,0.05
2014-12-01,2.375,0.10,0.125 ,13.75 ,-0.13 ,2.50,5.51,8.00 ,3,0.05
2015-01-01,1.875,0.10,0.125 ,15.00 ,-0.75 ,2.50,4.3,7.75 ,3.25,0.05
2015-02-01,1.875,0.10,0.125 ,15.00 ,-0.75 ,2.25,4.3,7.75 ,3.25,0.05
2015-03-01,1.875,0.10,0.125 ,14.00 ,-0.75 ,2.25,4.3,7.50 ,3.25,0.05
2015-04-01,1.875,0.10,0.125 ,12.50 ,-0.75 ,2.25,4.3,7.50 ,3.25,0.05
2015-05-01,1.875,0.10,0.125 ,12.50 ,-0.75 ,2.00,4.3,7.50 ,3.25,0.05
2015-06-01,1.875,0.10,0.125 ,11.50 ,-0.75 ,2.00,4.3,7.25 ,3.25,0.05
2015-07-01,1.875,0.10,0.125 ,11.00 ,-0.75 ,2.00,4.3,7.25 ,3.25,0.05
2015-08-01,1.875,0.10,0.125 ,11.00 ,-0.75 ,2.00,4.3,7.25 ,3.25,0.05
2015-09-01,1.875,0.10,0.125 ,11.00 ,-0.75 ,2.00,4.3,6.75 ,3.25,0.05
2015-10-01,1.875,0.10,0.125 ,11.00 ,-0.75 ,2.00,4.3,6.75 ,3.25,0.05
2015-11-01,1.875,0.10,0.125 ,11.00 ,-0.75 ,2.00,4.3,6.75 ,3.25,0.05
2015-12-01,1.875,0.10,0.375 ,11.00 ,-0.75 ,2.00,4.3,6.75 ,3.25,0.05
2016-01-01,1.25,-0.10,0.375 ,11.00 ,-0.75 ,2.00,4.3,6.75 ,5.75,0.05
2016-02-01,1.25,-0.10,0.375 ,11.00 ,-0.75 ,2.00,4.3,6.75 ,5.75,0.05
2016-03-01,1.25,-0.10,0.375 ,11.00 ,-0.75 ,2.00,4.3,6.75 ,5.75,0.00
2016-04-01,1.25,-0.10,0.375 ,11.00 ,-0.75 ,2.00,4.3,6.50 ,5.75,0.00
2016-05-01,1.25,-0.10,0.375 ,11.00 ,-0.75 ,1.75,4.3,6.50 ,5.75,0.00
2016-06-01,1.25,-0.10,0.375 ,10.50 ,-0.75 ,1.75,4.3,6.50 ,5.75,0.00
2016-07-01,1.25,-0.10,0.375 ,10.50 ,-0.75 ,1.75,4.3,6.50 ,5.75,0.00
2016-08-01,1.25,-0.10,0.375 ,10.50 ,-0.75 ,1.50,4.3,6.50 ,5.75,0.00
2016-09-01,1.25,-0.10,0.375 ,10.00 ,-0.75 ,1.50,4.3,6.50 ,5.75,0.00
2016-10-01,1.25,-0.10,0.375 ,10.00 ,-0.75 ,1.50,4.3,6.25 ,5.75,0.00
2016-11-01,1.25,-0.10,0.375 ,10.00 ,-0.75 ,1.50,4.3,6.25 ,5.75,0.00
2016-12-01,1.25,-0.10,0.625 ,10.00 ,-0.75 ,1.50,4.3,6.25 ,5.75,0.00
2017-01-01,1.5,-0.10,0.625 ,10.00 ,-0.75 ,1.50,4.3,6.25 ,7.25,0.00
2017-02-01,1.5,-0.10,0.625 ,10.00 ,-0.75 ,1.50,4.3,6.25 ,7.25,0.00
2017-03-01,1.5,-0.10,0.875 ,9.75 ,-0.75 ,1.50,4.3,6.25 ,7.25,0.00
