Date,KRW,JPY,USA,RUB,CHF,AUD,CNY,INR,MXN,EUR
2010-01-01,2.375,0.1,0.125,6,0.25,3.75,5.22,4.75,3.5,1
2010-02-01,2.375,0.1,0.125,6,0.25,3.75,5.22,4.75,3.5,1
2010-03-01,2.375,0.1,0.125,5.75,0.25,4,5.22,4.75,3.5,1
2010-04-01,2.375,0.1,0.125,5.5,0.25,4.25,5.22,4.85,3.5,1
2010-05-01,2.375,0.1,0.125,5.25,0.25,4.5,5.22,5.1,3.5,1
2010-06-01,2.375,0.1,0.125,5.25,0.25,4.5,5.22,5.25,3.5,1
2010-07-01,2.375,0.1,0.125,5,0.25,4.5,5.22,5.25,3.5,1
2010-08-01,2.375,0.1,0.125,5,0.25,4.5,5.22,5.53,3.5,1
2010-09-01,2.375,0.1,0.125,5,0.25,4.5,5.22,5.75,3.5,1
2010-10-01,2.375,0.05,0.125,5,0.25,4.5,5.22,5.88,3.5,1
2010-11-01,2.375,0.05,0.125,5,0.25,4.75,5.22,6,3.5,1
2010-12-01,2.375,0.05,0.125,5,0.25,4.75,5.22,6.25,3.5,1
2011-01-01,3,0.05,0.125,5,0.25,4.75,5.85,6.25,3.5,1
2011-02-01,3,0.05,0.125,5,0.25,4.75,5.85,6.31,3.5,1
2011-03-01,3,0.05,0.125,5.25,0.25,4.75,5.85,6.5,3.5,1
2011-04-01,3,0.05,0.125,5.25,0.25,4.75,5.85,6.62,3.5,1.25
2011-05-01,3,0.05,0.125,5.25,0.25,4.75,5.85,6.75,3.5,1.25
2011-06-01,3,0.05,0.125,8.25,0.25,4.75,5.85,7.23,3.5,1.25
2011-07-01,3,0.05,0.125,8.25,0.25,4.75,5.85,7.38,3.5,1.5
2011-08-01,3,0.05,0.125,8.25,0,4.75,5.85,7.6,3.5,1.5
2011-09-01,3,0.05,0.125,8.25,0,4.75,5.85,8,3.5,1.5
2011-10-01,3,0.05,0.125,8.25,0,4.75,5.85,8.13,3.5,1.5
2011-11-01,3,0.05,0.125,8.25,0,4.5,5.85,8.31,3.5,1.25
2011-12-01,3,0.05,0.125,8,0,4.25,5.85,8.5,3.5,1
2012-01-01,2.875,0.05,0.125,8,0,4.25,5.72,8.5,3.5,1
2012-02-01,2.875,0.05,0.125,8,0,4.25,5.72,8.5,3.5,1
2012-03-01,2.875,0.05,0.125,8,0,4.25,5.72,8.5,3.5,1
2012-04-01,2.875,0.05,0.125,8,0,4.25,5.72,8,3.5,1
2012-05-01,2.875,0.05,0.125,8,0,3.75,5.72,8,3.5,1
2012-06-01,2.875,0.05,0.125,8,0,3.5,5.72,8,3.5,1
2012-07-01,2.875,0.05,0.125,8,0,3.5,5.72,8,3.5,0.75
2012-08-01,2.875,0.05,0.125,8,0,3.5,5.72,8,3.5,0.75
2012-09-01,2.875,0.05,0.125,8.25,0,3.5,5.72,8,3.5,0.75
2012-10-01,2.875,0.05,0.125,8.25,0,3.25,5.72,8,3.5,0.75
2012-11-01,2.875,0.05,0.125,8.25,0,3.25,5.72,8,3.5,0.75
2012-12-01,2.875,0.05,0.125,8.25,0,3,5.72,8,3.5,0.75
2013-01-01,2.5,0.05,0.125,8.25,0,3,5.73,7.75,3.5,0.75
2013-02-01,2.5,0.05,0.125,8.25,0,3,5.73,7.75,3.5,0.75
2013-03-01,2.5,0.05,0.125,8.25,0,3,5.73,7.5,3.5,0.75
2013-04-01,2.5,0.1,0.125,8.25,0,3,5.73,7.5,3.5,0.75
2013-05-01,2.5,0.1,0.125,8.25,0,2.75,5.73,7.25,3.5,0.5
2013-06-01,2.5,0.1,0.125,8.25,0,2.75,5.73,7.25,3.5,0.5
2013-07-01,2.5,0.1,0.125,8.25,0,2.75,5.73,7.25,3.5,0.5
2013-08-01,2.5,0.1,0.125,8.25,0,2.5,5.73,7.25,3.5,0.5
2013-09-01,2.5,0.1,0.125,8.25,0,2.5,5.73,7.5,3.5,0.5
2013-10-01,2.5,0.1,0.125,5.5,0,2.5,5.73,7.75,3.5,0.5
2013-11-01,2.5,0.1,0.125,5.5,0,2.5,5.73,7.75,3.5,0.25
2013-12-01,2.5,0.1,0.125,5.5,0,2.5,5.73,7.75,3.5,0.25
2014-01-01,2.375,0.1,0.125,5.5,0,2.5,5.51,8,3,0.25
2014-02-01,2.375,0.1,0.125,5.5,0,2.5,5.51,8,3,0.25
2014-03-01,2.375,0.1,0.125,7,0,2.5,5.51,8,3,0.25
2014-04-01,2.375,0.1,0.125,7.5,0,2.5,5.51,8,3,0.25
2014-05-01,2.375,0.1,0.125,7.5,0,2.5,5.51,8,3,0.25
